wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
93.33333;98.59155;0.5483871;0.17200;63.88889;66.66667;0.5824176;1.10500;66.49485;65.62500;0.5118110;26.38600;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
96.12676;97.54386;0.6129032;0.26600;68.88889;65.55556;0.5384615;0.78700;64.06250;67.52577;0.4842520;13.91900;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
97.89474;96.83099;0.4516129;0.26100;67.77778;63.88889;0.4725275;0.72100;59.79381;64.58333;0.4685039;29.63300;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
95.07042;98.94737;0.6451613;0.19600;64.44444;73.33333;0.5274725;1.34300;62.50000;64.94845;0.4842520;33.23200;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
95.08772;97.53521;0.4516129;0.17000;72.22222;65.00000;0.4615385;1.12800;64.43299;66.14583;0.4685039;13.91700;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
96.12676;97.54386;0.4193548;0.16700;64.44444;75.00000;0.4725275;1.80700;60.93750;63.91753;0.5314961;17.93600;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
94.73684;98.23944;0.6129032;0.19000;72.22222;65.55556;0.5274725;0.68800;62.37113;60.41667;0.5236220;17.58800;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
96.83099;96.49123;0.4838710;0.27600;61.11111;72.77778;0.5604396;0.68900;64.06250;65.97938;0.5629921;15.13100;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
96.14035;97.18310;0.3548387;0.33700;63.33333;72.22222;0.5164835;0.65500;60.82474;64.06250;0.5196850;11.96100;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
95.07042;97.54386;0.4516129;0.20800;68.33333;66.66667;0.6043956;0.48800;63.54167;62.37113;0.4645669;11.26000;95.64183;97.64505;0.5032258;0.22430;66.66667;68.66667;0.5263736;0.94110;62.90217;64.55756;0.5019685;19.09630
