wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
96.14035;100.00000;0.6129032;47.25200;67.22222;72.77778;0.5274725;77.94400;63.40206;73.43750;0.5629921;562.16000;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
95.42254; 98.59649;0.6129032;45.50100;66.11111;69.44444;0.5714286;76.08200;66.66667;74.74227;0.6417323;472.83100;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
96.84211; 98.59155;0.6129032;47.39200;70.00000;72.77778;0.4395604;75.12500;67.52577;75.00000;0.5511811;506.42200;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
95.07042; 99.29825;0.5483871;46.81500;65.00000;77.77778;0.5054945;77.48300;64.58333;72.68041;0.4842520;503.94000;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
96.14035; 98.59155;0.5161290;44.82500;67.77778;74.44444;0.5164835;79.59600;57.73196;75.00000;0.5393701;524.73100;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
95.77465; 98.59649;0.5161290;48.16300;66.11111;78.33333;0.5274725;80.57300;64.06250;70.10309;0.4881890;526.01000;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
95.43860; 99.64789;0.4838710;48.37300;71.66667;73.33333;0.5604396;80.37800;66.49485;70.31250;0.5551181;540.90900;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
97.88732; 98.59649;0.6451613;47.22800;66.66667;77.22222;0.6373626;79.72900;60.41667;69.58763;0.5039370;505.32600;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
96.14035; 98.23944;0.4516129;48.72900;65.55556;77.22222;0.5714286;79.01300;67.52577;75.52083;0.5629921;505.25300;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
95.42254; 98.94737;0.4193548;48.32900;67.77778;67.77778;0.5384615;79.59300;57.29167;69.07216;0.5039370;513.39600;96.02792;98.91055;0.5419355;47.26070;67.38889;74.11111;0.5395604;78.55160;63.57012;72.54564;0.5393701;516.09780
