wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
95.08772;99.29577;0.3548387;55.11800;65.55556;70.55556;0.2527473;108.67300;62.37113;71.35417;0.5669291;849.72300;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
96.47887;98.24561;0.3548387;57.54800;67.77778;71.11111;0.5384615;107.36000;64.06250;72.68041;0.5118110;843.62800;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
97.19298;97.88732;0.6451613;53.85600;68.33333;74.44444;0.5714286; 97.82300;63.40206;70.83333;0.5118110;921.01800;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
95.07042;98.94737;0.5806452;53.90900;63.88889;76.11111;0.4285714;104.88100;61.97917;64.94845;0.1023622;939.45200;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
97.19298;97.53521;0.4838710;52.23400;74.44444;69.44444;0.6153846;100.05000;62.88660;71.87500;0.4960630;856.68800;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
95.77465;98.59649;0.2903226;55.72900;65.00000;79.44444;0.5054945;105.89700;64.06250;65.97938;0.4763780;783.93400;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
94.38596;99.29577;0.1290323;59.78900;72.77778;69.44444;0.1758242;106.83900;63.40206;66.14583;0.4645669;838.70600;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
98.23944;98.59649;0.7096774;51.89400;66.66667;75.00000;0.2527473;108.52900;63.54167;70.10309;0.1299213;851.37400;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
94.73684;98.59155;0.4838710;54.83700;63.88889;75.00000;0.3956044;103.72700;64.43299;67.18750;0.5433071;837.39900;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
95.07042;98.94737;0.4838710;54.57700;66.11111;67.77778;0.5164835;107.78300;65.62500;67.52577;0.5354331;819.44400;95.92303;98.59390;0.4516129;54.94910;67.44444;72.83333;0.4252747;105.15620;63.57657;68.86329;0.4338583;854.13660
