wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
93.68421;99.64789;0.5161290;34.71300;67.77778;70.00000;0.5714286;12.55600;64.94845;70.83333;0.5393701;431.75600;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
96.83099;98.59649;0.6451613;33.96700;65.55556;67.22222;0.5054945;13.88800;66.14583;73.71134;0.5236220;406.64400;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
97.19298;97.88732;0.4838710;27.20100;70.00000;66.66667;0.5824176;15.53200;67.52577;77.60417;0.5433071;473.71200;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
95.42254;99.29825;0.4838710; 9.13800;65.55556;71.11111;0.4725275;28.38600;59.89583;62.88660;0.5039370;181.34600;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
95.43860;97.88732;0.5483871;41.60500;68.88889;68.88889;0.5824176;26.25200;61.85567;67.70833;0.4606299;306.53800;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
94.71831;98.59649;0.5483871; 2.08600;63.88889;77.77778;0.4835165;23.32600;63.54167;65.97938;0.5157480;441.68800;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
92.98246;99.64789;0.5483871;26.47000;71.11111;70.00000;0.5054945;23.12800;61.85567;64.58333;0.5393701;271.50300;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
97.53521;97.89474;0.5483871;36.59500;62.77778;73.88889;0.4505495;24.48100;60.41667;68.55670;0.5039370;445.34500;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
95.43860;97.88732;0.5161290;43.53300;66.66667;69.44444;0.5384615; 8.74600;63.40206;67.70833;0.5275591;188.52100;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
95.77465;98.59649;0.3548387;37.14100;66.66667;70.00000;0.5164835;64.13800;63.02083;69.58763;0.5078740;452.76100;95.50185;98.59402;0.5193548;29.24490;66.88889;70.50000;0.5208791;24.04330;63.26085;68.91591;0.5165354;359.98140
