wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
95.78947;97.53521;0.03225806;0.00000;65.00000;66.66667;0.01098901;0.00000;65.46392;65.62500;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
97.53521;95.78947;0.03225806;0.00000;66.11111;67.77778;0.01098901;0.00000;65.62500;65.97938;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
97.19298;95.77465;0.03225806;0.00000;72.22222;64.44444;0.01098901;0.00000;62.88660;61.45833;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
95.77465;97.19298;0.03225806;0.00000;63.33333;70.00000;0.01098901;0.00000;63.02083;63.91753;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
96.14035;96.47887;0.03225806;0.00000;72.77778;65.00000;0.01098901;0.00000;62.37113;64.06250;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
96.47887;96.14035;0.03225806;0.00000;63.33333;75.00000;0.01098901;0.00000;63.54167;62.88660;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
95.43860;97.88732;0.03225806;0.00000;74.44444;66.66667;0.01098901;0.00000;64.94845;62.50000;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
97.88732;95.43860;0.03225806;0.00000;64.44444;72.77778;0.01098901;0.00000;61.45833;62.88660;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
96.49123;96.83099;0.03225806;0.00000;63.33333;68.33333;0.01098901;0.00000;61.85567;61.45833;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
96.83099;96.49123;0.03225806;0.00000;67.77778;65.55556;0.01098901;0.00000;60.41667;62.37113;0.003937008;0.00000;96.55597;96.55597;0.03225806;0.00000;67.27778;68.22222;0.01098901;0.00000;63.15883;63.31454;0.003937008;0.00000
