wdbc.Tasa.test;wdbc.Tasa.train;wdbc.Tasa.red;wdbc.T.exec;mlibras.Tasa.test;mlibras.Tasa.train;mlibras.Tasa.red;mlibras.T.exec;arrhythmia.Tasa.test;arrhythmia.Tasa.train;arrhythmia.Tasa.red;arrhythmia.T.exec;wdbc.media.Tasa.test;wdbc.media.Tasa.train;wdbc.media.Tasa.red;wdbc.media.T.exec;mlibras.media.Tasa.test;mlibras.media.Tasa.train;mlibras.media.Tasa.red;mlibras.media.T.exec;arrhythmia.media.Tasa.test;arrhythmia.media.Tasa.train;arrhythmia.media.Tasa.red;arrhythmia.media.T.exec
94.38596;97.53521;0.8387097;0.17200;60.00000;70.00000;0.8791209;1.17100;59.79381;75.52083;0.9803150;1.98300;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
96.83099;97.89474;0.7741935;0.25800;63.88889;75.00000;0.8901099;1.03500;76.04167;78.35052;0.9685039;4.10800;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
95.43860;97.88732;0.8387097;0.17400;67.22222;69.44444;0.9230769;0.65900;64.94845;77.60417;0.9803150;2.13300;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
92.25352;96.14035;0.8064516;0.21400;61.11111;73.88889;0.8901099;1.05900;71.35417;71.64948;0.9763780;3.04800;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
94.38596;95.77465;0.9032258;0.09600;67.77778;71.11111;0.8791209;1.15200;71.64948;80.72917;0.9763780;2.55200;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
91.90141;96.14035;0.8709677;0.13800;68.33333;76.66667;0.8681319;1.30700;68.75000;70.61856;0.9881890;1.17900;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
93.68421;97.88732;0.8709677;0.13400;71.66667;73.88889;0.8791209;1.17100;74.22680;76.04167;0.9763780;2.23900;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
94.71831;94.38596;0.8709677;0.13200;62.77778;75.00000;0.9230769;0.64900;67.70833;78.35052;0.9803150;2.16400;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
95.08772;95.77465;0.8387097;0.17200;62.22222;73.33333;0.9010989;0.89800;68.55670;75.52083;0.9803150;2.41800;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
92.25352;95.78947;0.8387097;0.17300;63.88889;67.22222;0.8901099;1.07100;69.27083;73.19588;0.9842520;1.49500;94.09402;96.52100;0.8451613;0.16630;64.88889;72.55556;0.8923077;1.01720;69.23003;75.75816;0.9791339;2.33190
